%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
84030.961,300.695,0.974,7.432,26.889,0.042,14.075,-11.816,-11.329,-21.297,17.087,-17.021,-16.977,-15.625,-14.066,-8.961,21.657,12.769,-6.377,4.71,12.148,-18.914,0,-544.798,-289.718,14.557,-121.267,215.59
84022.905,300.69,0.973,7.433,26.889,-0.278,13.208,-12.596,-11.222,-21.924,17.844,-17.436,-17.191,-16.268,-14.736,-8.544,20.706,13.089,-6.272,4.71,11.837,-19.364,0,-544.798,-289.718,14.557,-121.267,215.57
84030.961,300.695,0.974,7.443,26.968,0.042,13.208,-12.708,-11.756,-21.297,16.871,-17.644,-17.191,-16.375,-14.736,-8.856,21.551,12.131,-6.377,5.338,11.421,-18.689,0,-544.798,-289.718,14.557,-121.283,215.58
84034.989,300.697,0.974,7.432,26.889,0.202,13.75,-12.039,-11.542,-21.506,18.061,-18.578,-17.618,-15.518,-15.182,-8.752,21.129,13.301,-6.9,4.919,12.148,-20.04,0,-544.798,-289.718,14.557,-121.267,215.59
84026.933,300.695,0.973,7.433,26.889,0.202,13.533,-11.816,-11.649,-21.819,17.195,-17.332,-17.404,-15.411,-14.401,-9.065,21.446,12.769,-6.482,4.291,11.525,-19.364,0,-544.798,-289.718,14.557,-121.251,215.59
84022.905,300.692,0.973,7.444,26.968,-0.118,12.667,-12.039,-11.115,-21.715,17.52,-17.54,-17.191,-16.268,-14.401,-8.752,20.918,12.876,-6.586,4.919,12.044,-18.801,0,-544.798,-289.718,14.557,-121.3,215.601
84034.989,300.692,0.974,7.399,26.652,-0.278,13.858,-13.265,-11.436,-21.61,17.52,-17.332,-17.191,-15.411,-15.294,-8.44,22.08,12.556,-6.482,5.233,12.46,-18.914,0,-544.798,-289.718,14.557,-121.251,215.59
84018.877,300.692,0.973,7.411,26.731,0.042,13.425,-12.039,-12.291,-21.924,17.628,-18.162,-16.977,-15.947,-13.954,-8.752,21.34,13.301,-7.422,5.024,12.46,-18.689,0,-544.798,-289.718,14.557,-121.267,215.59
84022.905,300.695,0.973,7.422,26.81,0.042,13.641,-12.262,-11.756,-21.611,18.061,-17.332,-17.938,-15.947,-14.178,-8.856,21.235,13.514,-6.063,4.291,12.252,-18.914,0,-544.798,-289.718,14.557,-121.251,215.59
84022.905,300.695,0.973,7.444,26.968,0.202,13.425,-12.596,-11.329,-21.297,17.628,-17.644,-17.084,-16.268,-13.954,-8.44,21.551,13.195,-6.482,5.233,11.941,-18.801,0,-544.798,-289.718,14.557,-121.283,215.58
84034.989,300.695,0.974,7.432,26.889,0.202,14.508,-13.265,-11.649,-21.819,17.736,-17.747,-16.977,-15.197,-14.847,-8.752,20.918,12.024,-6.168,5.024,11.733,-19.702,0,-544.798,-289.718,14.557,-121.3,215.58
84026.933,300.697,0.973,7.433,26.889,0.042,13.966,-11.927,-11.649,-21.715,17.628,-17.54,-17.191,-15.411,-13.954,-9.377,21.657,12.982,-6.691,5.024,12.148,-18.238,0,-544.798,-289.718,14.557,-121.283,215.601
84034.989,300.698,0.974,7.443,26.968,0.202,13.641,-12.262,-11.222,-22.237,17.412,-17.436,-17.298,-16.161,-14.066,-8.544,21.129,12.556,-6.063,4.082,11.941,-18.801,0,-544.798,-289.718,14.557,-121.283,215.58
84018.877,300.695,0.973,7.411,26.731,0.042,13.533,-12.485,-11.436,-21.819,17.195,-17.021,-17.298,-15.625,-14.401,-8.648,20.918,12.769,-6.691,4.71,11.318,-18.801,0,-544.798,-289.718,14.557,-121.267,215.58
84014.849,300.694,0.973,7.411,26.731,0.042,13.858,-12.15,-11.436,-21.402,17.52,-17.747,-16.764,-15.733,-14.959,-8.335,21.34,12.556,-6.272,4.605,12.252,-18.801,0,-544.798,-289.718,14.557,-121.283,215.58
84022.905,300.694,0.973,7.356,26.336,0.042,13.641,-11.816,-11.649,-21.193,17.52,-17.747,-17.511,-15.733,-14.066,-9.169,21.235,13.195,-6.377,4.605,11.629,-18.689,0,-544.798,-289.718,14.557,-121.267,215.57
84026.933,300.694,0.974,7.432,26.889,0.042,12.992,-12.931,-11.115,-21.924,17.303,-17.955,-17.298,-16.161,-14.736,-8.752,20.601,12.769,-6.482,4.291,11.733,-19.026,0,-544.798,-289.718,14.557,-121.267,215.56
