%Time(s)	Speed(rpm)		
	%3/22/20171:08 PM
15.140	7.500
15.150	7.400
15.160	7.300
15.170	7.300
15.180	7.100
15.190	7.000
15.200	7.000
15.210	6.900
15.220	6.800
15.230	6.800
15.240	6.700
15.250	6.600
15.260	6.600
15.270	6.400
15.280	6.300
15.290	6.300
15.300	6.200
15.310	6.200
15.320	6.100
15.330	5.900
15.340	5.900
15.350	5.800
15.360	5.800
15.370	5.700
15.380	5.700
15.390	5.500
15.400	5.500
15.410	5.400
15.420	5.400
15.430	5.200
15.440	5.200
15.450	5.100
15.460	5.100
15.470	4.900
15.480	4.900
15.490	4.800
15.500	4.800
15.510	4.600
15.520	4.600
15.530	4.600
15.540	4.500
15.550	4.500
15.560	4.300
15.570	4.300
15.580	4.300
15.590	4.100
15.600	4.100
15.610	4.100
15.620	3.900
15.630	3.900
15.640	3.700
15.650	3.700
15.660	3.700
15.670	3.700
15.680	3.500
15.690	3.500
15.700	3.500
15.710	3.300
15.720	3.300
15.730	3.300
15.740	3.300
15.750	3.100
15.760	3.100
15.770	3.100
15.780	3.100
15.790	2.800
15.800	2.800
15.810	2.800
15.820	2.800
15.830	2.800
15.840	2.500
15.850	2.500
15.860	2.500
15.870	2.500
15.880	2.500
15.890	2.500
15.900	2.500
15.910	2.500
15.920	2.100
15.930	2.100
15.940	2.100
15.950	2.100
15.960	2.100
15.970	2.100
15.980	2.100
15.990	2.100
16.000	2.100
16.010	2.100
16.020	2.100
16.030	2.100
16.040	2.100
16.050	2.100
16.060	2.100
16.070	2.100
16.080	0.000
16.090	0.000
16.100	0.000
16.110	0.000
16.120	0.000
16.130	0.000
16.140	0.000
16.150	0.000
16.160	0.000
16.170	0.000
16.180	0.000
16.190	0.000
16.200	0.000
16.210	0.000
16.220	0.000
16.230	0.000
16.240	0.000
16.250	0.000
16.260	0.000
16.270	0.000
16.280	0.000
16.290	0.000
16.300	0.000
16.310	0.000
16.320	0.000
16.330	0.000
16.340	0.000
16.350	0.000
16.360	0.000
16.370	0.000
16.380	0.000
16.390	0.000
16.400	0.000
16.410	0.000
16.420	0.000
16.430	0.000
16.440	0.000
16.450	0.000
16.460	0.000
16.470	0.000
16.480	0.000
16.490	0.000
16.500	0.000
16.510	0.000
16.520	0.000
16.530	0.000
16.540	0.000
16.550	0.000
16.560	0.000
16.570	0.000
16.580	0.000
16.590	0.000
16.600	0.000
16.610	0.000
16.620	0.000
16.630	0.000
16.640	0.000
16.650	0.000
16.660	0.000
16.670	0.000
16.680	0.000
16.690	0.000
16.700	0.000
16.710	0.000
16.720	0.000
16.730	0.000
16.740	0.000
16.750	0.000
16.760	0.000
16.770	0.000
16.780	0.000
16.790	0.000
16.800	0.000
16.810	0.000
16.820	0.000
16.830	0.000
16.840	0.000
16.850	0.000
16.860	0.000
16.870	0.000
16.880	0.000
16.890	0.000
16.900	0.000
