%Time(s)	Speed(rpm)		
	%3/13/201511:14 AM
12.970	31.100
12.980	31.100
12.990	31.000
13.000	31.000
13.010	30.900
13.020	30.900
13.030	30.800
13.040	30.800
13.050	30.800
13.060	30.700
13.070	30.600
13.080	30.600
13.090	30.500
13.100	30.500
13.110	30.400
13.120	30.400
13.130	30.300
13.140	30.200
13.150	30.200
13.160	30.100
13.170	30.100
13.180	30.000
13.190	29.900
13.200	29.800
13.210	29.800
13.220	29.800
13.230	29.700
13.240	29.700
13.250	29.600
13.260	29.500
13.270	29.500
13.280	29.400
13.290	29.300
13.300	29.300
13.310	29.200
13.320	29.100
13.330	29.100
13.340	29.000
13.350	29.000
13.360	28.900
13.370	28.800
13.380	28.700
13.390	28.700
13.400	28.600
13.410	28.500
13.420	28.400
13.430	28.400
13.440	28.300
13.450	28.300
13.460	28.200
13.470	28.100
13.480	28.100
13.490	28.100
13.500	28.000
13.510	28.000
13.520	28.000
13.530	27.900
13.540	27.800
13.550	27.800
13.560	27.700
13.570	27.700
13.580	27.600
13.590	27.500
13.600	27.500
13.610	27.400
13.620	27.400
13.630	27.300
13.640	27.300
13.650	27.200
13.660	27.200
13.670	27.100
13.680	27.100
13.690	27.000
13.700	27.000
13.710	27.000
13.720	26.900
13.730	26.900
13.740	26.800
13.750	26.700
13.760	26.700
13.770	26.600
13.780	26.500
13.790	26.500
13.800	26.400
13.810	26.300
13.820	26.300
13.830	26.200
13.840	26.200
13.850	26.100
13.860	26.100
13.870	26.000
13.880	26.000
13.890	25.900
13.900	25.800
13.910	25.800
13.920	25.700
13.930	25.700
13.940	25.600
13.950	25.600
13.960	25.500
13.970	25.400
13.980	25.400
13.990	25.300
14.000	25.300
14.010	25.200
14.020	25.100
14.030	25.100
14.040	25.000
14.050	25.000
14.060	25.000
14.070	24.900
14.080	24.900
14.090	24.800
14.100	24.700
14.110	24.700
14.120	24.700
14.130	24.600
14.140	24.500
14.150	24.500
14.160	24.400
14.170	24.400
14.180	24.300
14.190	24.300
14.200	24.200
14.210	24.200
14.220	24.100
14.230	24.100
14.240	24.100
14.250	24.000
14.260	24.000
14.270	24.000
14.280	23.900
14.290	23.800
14.300	23.800
14.310	23.700
14.320	23.700
14.330	23.600
14.340	23.600
14.350	23.500
14.360	23.500
14.370	23.400
14.380	23.400
14.390	23.300
14.400	23.200
14.410	23.200
14.420	23.100
14.430	23.100
14.440	23.000
14.450	22.900
14.460	22.900
14.470	22.800
14.480	22.700
14.490	22.700
14.500	22.700
14.510	22.600
14.520	22.500
14.530	22.500
14.540	22.400
14.550	22.300
14.560	22.300
14.570	22.200
14.580	22.100
14.590	22.100
14.600	22.000
14.610	21.900
14.620	21.900
14.630	21.800
14.640	21.800
14.650	21.700
14.660	21.600
14.670	21.600
14.680	21.500
14.690	21.400
14.700	21.400
14.710	21.300
14.720	21.300
14.730	21.200
14.740	21.100
14.750	21.100
14.760	21.000
14.770	20.900
14.780	20.900
14.790	20.800
14.800	20.800
14.810	20.700
14.820	20.600
14.830	20.600
14.840	20.500
14.850	20.500
14.860	20.500
14.870	20.400
14.880	20.400
14.890	20.300
14.900	20.200
14.910	20.100
14.920	20.100
14.930	20.000
14.940	20.000
14.950	19.900
14.960	19.900
14.970	19.800
14.980	19.800
14.990	19.700
15.000	19.700
15.010	19.600
15.020	19.600
15.030	19.500
15.040	19.500
15.050	19.400
15.060	19.400
15.070	19.300
15.080	19.300
15.090	19.200
15.100	19.200
15.110	19.100
15.120	19.100
15.130	19.000
15.140	19.000
15.150	18.900
15.160	18.900
15.170	18.900
15.180	18.800
15.190	18.800
15.200	18.700
15.210	18.600
15.220	18.600
15.230	18.500
15.240	18.500
15.250	18.500
15.260	18.400
15.270	18.300
15.280	18.300
15.290	18.200
15.300	18.100
15.310	18.100
15.320	18.000
15.330	18.000
15.340	18.000
15.350	17.900
15.360	17.800
15.370	17.800
15.380	17.700
15.390	17.700
15.400	17.600
15.410	17.600
15.420	17.500
15.430	17.400
15.440	17.400
15.450	17.300
15.460	17.300
15.470	17.200
15.480	17.100
15.490	17.100
15.500	17.000
15.510	16.900
15.520	16.800
15.530	16.800
15.540	16.800
15.550	16.700
15.560	16.700
15.570	16.600
15.580	16.500
15.590	16.500
15.600	16.400
15.610	16.400
15.620	16.300
15.630	16.300
15.640	16.200
15.650	16.200
15.660	16.100
15.670	16.000
15.680	16.000
15.690	15.900
15.700	15.900
15.710	15.800
15.720	15.700
15.730	15.700
15.740	15.600
15.750	15.600
15.760	15.500
15.770	15.500
15.780	15.400
15.790	15.400
15.800	15.300
15.810	15.200
15.820	15.200
15.830	15.200
15.840	15.100
15.850	15.100
15.860	15.000
15.870	15.000
15.880	14.900
15.890	14.900
15.900	14.800
15.910	14.800
15.920	14.700
15.930	14.700
15.940	14.600
15.950	14.600
15.960	14.500
15.970	14.500
15.980	14.400
15.990	14.400
16.000	14.300
16.010	14.300
16.020	14.200
16.030	14.200
16.040	14.100
16.050	14.100
16.060	14.100
16.070	14.000
16.080	14.000
16.090	13.900
16.100	13.900
16.110	13.800
16.120	13.800
16.130	13.700
16.140	13.700
16.150	13.700
16.160	13.600
16.170	13.600
16.180	13.500
16.190	13.500
16.200	13.400
16.210	13.400
16.220	13.400
16.230	13.300
16.240	13.300
16.250	13.200
16.260	13.200
16.270	13.100
16.280	13.100
16.290	13.000
16.300	13.000
16.310	13.000
16.320	12.900
16.330	12.900
16.340	12.800
16.350	12.700
16.360	12.700
16.370	12.700
16.380	12.600
16.390	12.500
16.400	12.500
16.410	12.400
16.420	12.400
16.430	12.300
16.440	12.300
16.450	12.200
16.460	12.200
16.470	12.100
16.480	12.100
16.490	12.000
16.500	12.000
16.510	11.900
16.520	11.900
16.530	11.800
16.540	11.700
16.550	11.700
16.560	11.700
16.570	11.600
16.580	11.500
16.590	11.500
16.600	11.400
16.610	11.400
16.620	11.300
16.630	11.300
16.640	11.200
16.650	11.200
16.660	11.100
16.670	11.000
16.680	11.000
16.690	10.900
16.700	10.900
16.710	10.800
16.720	10.800
16.730	10.700
16.740	10.700
16.750	10.600
16.760	10.600
16.770	10.500
16.780	10.500
16.790	10.400
16.800	10.300
16.810	10.200
16.820	10.200
16.830	10.100
16.840	10.100
16.850	10.000
16.860	10.000
16.870	9.900
16.880	9.900
16.890	9.900
16.900	9.800
16.910	9.700
16.920	9.700
16.930	9.600
16.940	9.500
16.950	9.500
16.960	9.400
16.970	9.400
16.980	9.300
16.990	9.300
17.000	9.200
17.010	9.100
17.020	9.100
17.030	9.000
17.040	9.000
17.050	9.000
17.060	8.900
17.070	8.800
17.080	8.800
17.090	8.700
17.100	8.600
17.110	8.600
17.120	8.600
17.130	8.500
17.140	8.500
17.150	8.400
17.160	8.300
17.170	8.300
17.180	8.300
17.190	8.200
