%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82223.372,300.846,0.952,25.131,300.672,-0.272,258.976,259.365,263.318,263.796,264.424,261.078,261.445,262.137,263.702,265.133,267.497,260.352,267.194,264.915,264.111,260.687,0.037,0.001,1.036,-0.001,535.048,336.269
82211.278,300.843,0.952,25.136,300.751,-0.272,258.976,259.477,263.211,263.691,263.883,259.102,260.054,259.884,262.360,262.836,264.433,258.331,264.053,261.147,260.788,257.077,0.079,0.001,1.036,-0.000,535.048,336.269
82219.341,300.843,0.952,25.142,300.910,-0.272,256.053,257.244,260.214,260.450,260.855,256.917,255.882,256.881,258.557,259.600,262.003,255.671,262.169,259.368,257.778,257.190,0.058,-0.037,1.026,0.001,535.048,336.269
82215.309,300.843,0.952,25.139,300.830,-0.112,254.538,258.249,260.214,260.659,261.180,257.333,258.448,257.846,260.459,261.792,263.588,256.947,263.425,260.833,259.646,256.964,0.058,0.001,1.067,0.000,535.048,336.269
82219.341,300.838,0.952,25.148,301.068,0.048,256.703,256.462,260.749,260.345,260.639,257.021,256.416,257.309,257.663,259.600,261.475,255.352,262.064,260.310,258.089,257.528,0.069,0.001,1.057,0.000,535.048,336.269
82211.278,300.841,0.952,25.153,301.147,-0.112,254.862,259.030,260.214,261.077,261.396,257.853,257.272,257.524,259.118,259.600,262.426,256.096,262.273,259.996,258.608,256.513,0.058,-0.018,1.067,0.000,535.048,336.269
82215.309,300.844,0.952,25.159,301.305,0.048,254.646,255.681,258.929,258.777,259.449,256.709,255.667,256.451,257.888,259.599,260.630,255.883,261.645,258.740,258.193,257.979,0.069,-0.018,1.046,0.000,535.048,336.269
82219.341,300.843,0.952,25.165,301.463,-0.112,254.862,256.686,258.929,260.241,260.206,258.061,257.058,257.309,259.454,261.582,263.060,257.479,262.797,261.461,258.504,257.190,0.058,-0.018,1.067,-0.000,535.048,336.269
82223.372,300.843,0.952,25.164,301.463,0.048,254.321,256.574,258.180,259.718,259.557,256.397,256.309,256.451,256.993,258.346,261.158,255.564,261.226,260.205,258.193,257.528,0.069,-0.037,1.067,-0.000,535.048,336.269
82219.341,300.844,0.952,25.168,301.542,-0.112,254.321,258.025,259.036,260.450,260.422,257.333,256.309,256.880,258.559,258.764,261.792,256.203,262.209,260.310,259.335,258.882,0.058,0.001,1.057,-0.000,535.048,336.269
